Class,Face with Explainability,timestamp
"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 0.9999999977415486}, {""label"": ""fake"", ""confidence"": 2.2584514258738864e-09}]}","{""path"": "".gradio\\cached_examples\\15\\Face with Explainability\\1f01db1fa56a054b04ed\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\techn\\AppData\\Local\\Temp\\gradio\\6f31b94a0f6bc54bc53500b58530b5993ba53c9da7e808949c263cf0c1e62742\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2024-11-13 17:38:02.724012
"{""label"": ""fake"", ""confidences"": [{""label"": ""fake"", ""confidence"": 0.9999599456787109}, {""label"": ""real"", ""confidence"": 4.00543212890625e-05}]}","{""path"": "".gradio\\cached_examples\\15\\Face with Explainability\\4041f0e23884bdec71de\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\techn\\AppData\\Local\\Temp\\gradio\\c35a9acdd171cd3a9c179f3803220e4e367d0dc53cb847d58b9c3977eba53800\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2024-11-13 17:38:04.034933
"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 0.5079668760299683}, {""label"": ""fake"", ""confidence"": 0.49203312397003174}]}","{""path"": "".gradio\\cached_examples\\15\\Face with Explainability\\ba249241955c4faccbc2\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\techn\\AppData\\Local\\Temp\\gradio\\34435b59f5f07d4838d29041d8725eb286e1aad2736420e0782aebbbf67f6472\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2024-11-13 17:38:05.251809
"{""label"": ""fake"", ""confidences"": [{""label"": ""fake"", ""confidence"": 0.9999496936798096}, {""label"": ""real"", ""confidence"": 5.030632019042969e-05}]}","{""path"": "".gradio\\cached_examples\\15\\Face with Explainability\\6ea736ff8a38e01ecf4e\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\techn\\AppData\\Local\\Temp\\gradio\\0ba662c4715e9cf5a90c0486081e99f1aa6c585c9f6510a772042afed6d85df2\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2024-11-13 17:38:06.131514
"{""label"": ""fake"", ""confidences"": [{""label"": ""fake"", ""confidence"": 1.0}, {""label"": ""real"", ""confidence"": 0.0}]}","{""path"": "".gradio\\cached_examples\\15\\Face with Explainability\\e2b956e709b95eb678c1\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\techn\\AppData\\Local\\Temp\\gradio\\7cb1adcfd3104d2465e639fd4739a99e978a156707e36ecfadf8470689ac8f2b\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2024-11-13 17:38:06.963209
"{""label"": ""fake"", ""confidences"": [{""label"": ""fake"", ""confidence"": 0.7893565893173218}, {""label"": ""real"", ""confidence"": 0.21064341068267822}]}","{""path"": "".gradio\\cached_examples\\15\\Face with Explainability\\e5ed31117b56e673fe4a\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\techn\\AppData\\Local\\Temp\\gradio\\29da1beacf595fd3ad85794c786a984743a03ddd8ee7f7f03b56df641dbf8804\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2024-11-13 17:38:07.823452
"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 0.9878975115716457}, {""label"": ""fake"", ""confidence"": 0.012102488428354263}]}","{""path"": "".gradio\\cached_examples\\15\\Face with Explainability\\a138fb887dc175eb4eab\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\techn\\AppData\\Local\\Temp\\gradio\\e8fae9b2856e2f1447a0806cbc258a0b2db6392185881da298d5682021cd2836\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2024-11-13 17:38:08.631800
"{""label"": ""fake"", ""confidences"": [{""label"": ""fake"", ""confidence"": 0.999895453453064}, {""label"": ""real"", ""confidence"": 0.00010454654693603516}]}","{""path"": "".gradio\\cached_examples\\15\\Face with Explainability\\c6e7da95e5a99e7c081c\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\techn\\AppData\\Local\\Temp\\gradio\\a102795aa5279236d9eb747f2b897b50bb082dec7c3cf1da0fd376e7786692e6\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2024-11-13 17:38:09.367400
"{""label"": ""fake"", ""confidences"": [{""label"": ""fake"", ""confidence"": 0.963779866695404}, {""label"": ""real"", ""confidence"": 0.03622013330459595}]}","{""path"": "".gradio\\cached_examples\\15\\Face with Explainability\\c019113aafa72d2021fa\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\techn\\AppData\\Local\\Temp\\gradio\\659f77075e1918e21eaec97baad2011fa56033a0472e591c80f35a663b3d6795\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2024-11-13 17:38:10.184716
"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 0.9999986545410593}, {""label"": ""fake"", ""confidence"": 1.3454589407047024e-06}]}","{""path"": "".gradio\\cached_examples\\15\\Face with Explainability\\bdc82913fc94b58109ec\\image.webp"", ""url"": ""/gradio_api/file=C:\\Users\\techn\\AppData\\Local\\Temp\\gradio\\811b26d1f7a7d0fe0a262d5a30e24602997b0b3cddb290cfac1eac2691c7bab4\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",2024-11-13 17:38:10.941327
