Class,Your Text Output,Face with Explainability,flag,username,timestamp
"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 0.9999999977415444}, {""label"": ""fake"", ""confidence"": 2.25845564472138e-09}]}",real,"{""path"": ""gradio_cached_examples\\17\\Face with Explainability\\24253059ed80750521d0\\image.webp"", ""url"": ""/file=C:\\Users\\techn\\AppData\\Local\\Temp\\gradio\\d0f190eda516b1553ad8e251c83c26d78dde3b839197ea17fed70fc168aec224\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",,,2024-09-10 23:39:54.702796
"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 0.9999540159187745}, {""label"": ""fake"", ""confidence"": 4.598408122546971e-05}]}",real,"{""path"": ""gradio_cached_examples\\17\\Face with Explainability\\3b4aa4c7c0a53dfb3c29\\image.webp"", ""url"": ""/file=C:\\Users\\techn\\AppData\\Local\\Temp\\gradio\\093e5a469ebe6a05a1ff08f81593747c5dd6207626745db1b64d904bedd9fde7\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",,,2024-09-10 23:39:56.005683
"{""label"": ""fake"", ""confidences"": [{""label"": ""fake"", ""confidence"": 0.9999496936798096}, {""label"": ""real"", ""confidence"": 5.030632019042969e-05}]}",fake,"{""path"": ""gradio_cached_examples\\17\\Face with Explainability\\0f7c4b7dc02bec4f78ca\\image.webp"", ""url"": ""/file=C:\\Users\\techn\\AppData\\Local\\Temp\\gradio\\f6fe64ff92a58e191dc5f228722c75dc1790d3b13846ab407f02e0713d071327\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",,,2024-09-10 23:39:57.216500
"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 0.8550796657800674}, {""label"": ""fake"", ""confidence"": 0.14492033421993256}]}",real,"{""path"": ""gradio_cached_examples\\17\\Face with Explainability\\65fbb5b16705649b5a1b\\image.webp"", ""url"": ""/file=C:\\Users\\techn\\AppData\\Local\\Temp\\gradio\\efad2d339c3ff189e6314ff0ee831ad7aff8fdddac8249f582f1b5f14416ee36\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",,,2024-09-10 23:39:58.077027
"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 0.9878975059837103}, {""label"": ""fake"", ""confidence"": 0.012102494016289711}]}",real,"{""path"": ""gradio_cached_examples\\17\\Face with Explainability\\735b168e4ec2ad7a22d9\\image.webp"", ""url"": ""/file=C:\\Users\\techn\\AppData\\Local\\Temp\\gradio\\52bbd3598fea908ad175dd86245371674fae482f037a998d08b2c7ba75f00941\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",,,2024-09-10 23:39:58.981039
"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 0.9999999934243813}, {""label"": ""fake"", ""confidence"": 6.575618716198051e-09}]}",real,"{""path"": ""gradio_cached_examples\\17\\Face with Explainability\\ed3fb53d857d701ec05e\\image.webp"", ""url"": ""/file=C:\\Users\\techn\\AppData\\Local\\Temp\\gradio\\c1e7659a79ad4fdfeadcaba0cbb2bd443959bdaa4173288182c2a5104553d84b\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",,,2024-09-10 23:39:59.852393
"{""label"": ""fake"", ""confidences"": [{""label"": ""fake"", ""confidence"": 0.9233723878860474}, {""label"": ""real"", ""confidence"": 0.07662761211395264}]}",fake,"{""path"": ""gradio_cached_examples\\17\\Face with Explainability\\1dbd6384493031b87052\\image.webp"", ""url"": ""/file=C:\\Users\\techn\\AppData\\Local\\Temp\\gradio\\e9614d6082f0609806645fc07fec3af728e70fff21b7b205f10f66ad1e8484d0\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",,,2024-09-10 23:40:00.719371
"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 0.9999999760253875}, {""label"": ""fake"", ""confidence"": 2.3974612517463356e-08}]}",real,"{""path"": ""gradio_cached_examples\\17\\Face with Explainability\\344da0cb26b499e7bb76\\image.webp"", ""url"": ""/file=C:\\Users\\techn\\AppData\\Local\\Temp\\gradio\\053d54c76a81eb2d3448764602e356407a2b87e69825c909c6a2bbb783fa9f6c\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",,,2024-09-10 23:40:01.616986
"{""label"": ""fake"", ""confidences"": [{""label"": ""fake"", ""confidence"": 0.9995394945144653}, {""label"": ""real"", ""confidence"": 0.00046050548553466797}]}",fake,"{""path"": ""gradio_cached_examples\\17\\Face with Explainability\\e1e065472b33d2202a74\\image.webp"", ""url"": ""/file=C:\\Users\\techn\\AppData\\Local\\Temp\\gradio\\52ac69fd0fb22443582722fc6c13c795847b455e32339270e9f8300ef3c8708b\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",,,2024-09-10 23:40:02.658533
"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 0.999285222729668}, {""label"": ""fake"", ""confidence"": 0.0007147772703319788}]}",real,"{""path"": ""gradio_cached_examples\\17\\Face with Explainability\\45226994543074079086\\image.webp"", ""url"": ""/file=C:\\Users\\techn\\AppData\\Local\\Temp\\gradio\\d4cc1abea7ebd8adf49ac0cd97521f4eedb448b5ad1d18ddb7f58c5b7eb6fef7\\image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}",,,2024-09-10 23:40:03.664561
